OBJECTID,NETWORK_AREA,CORRIDOR_ID,CORRIDOR_DESCR,LINK_ID,LINK_DESCR,LINK_FROM,LINK_TO,LINK_FLOW,LINK_DIRN,LINK_SEQ,GEOLOCSTLength
6185299,South West,1140011,Sevenoaks St,63763,Sevenoaks St,Cannington Station Bus Access,Cannington Station Bus Access & Cecil Av,I,,2,0.00212112964477802
6185300,South West,1140011,Sevenoaks St,63764,Sevenoaks St,Cannington Station Bus Access & Cecil Av,Wharf St,I,,3,0.00550386152825584
6185301,South West,1140011,Sevenoaks St,63765,Sevenoaks St,Wharf St,Hamilton St,I,,4,0.00793728904610842
6185302,South West,1140011,Sevenoaks St,63766,Sevenoaks St,Hamilton St,Welshpool Rd,I,,5,0.0166793787327182
6185303,South West,1140014,Kewdale Rd,63776,Kewdale Rd,Kewdale Rd,Dowd St,I,,1,0.00195536627319083
6185304,South West,1140014,Kewdale Rd,63777,Kewdale Rd,Dowd St,Orrong Rd,I,,2,0.00988589268916435
6185305,South West,1140014,Kewdale Rd,63778,Kewdale Rd,Orrong Rd,Welshpool Rd,I,,3,0.00308713354365082
6185306,South West,1140018,Division St Sth,63789,Division St Sth,Babel Rd,Orrong Rd & Bell St,I,,1,0.0079655627000478
6185307,North West,5003,Mitchell Ramps,5801,Mitchell Fwy (Southbound) off to Shenton Av Ramp,Mitchell Fwy And Mitchell Fwy (Southbound) off to Shenton Av Ramp,Shenton Av And Mitchell Fwy (Southbound) off to Shenton Av Ramp,I,S,1,0.00243802884929584
6185308,North West,5003,Mitchell Ramps,5798,Mitchell Fwy (Southbound) off to Hodges Dr Ramp,Mitchell Fwy And Mitchell Fwy (Southbound) off to Hodges Dr Ramp,Hodges Dr And Mitchell Fwy (Southbound) off to Hodges Dr Ramp,I,S,1,0.00350237191688589
6185309,North West,5003,Mitchell Ramps,5507,Riverside Dr on to Mitchell Fwy (Northbound) Ramp,Riverside Dr And Riverside Dr on to Mitchell Fwy (Northbound) Ramp,Mitchell Fwy And Riverside Dr on to Mitchell Fwy (Northbound) Ramp,I,N,1,0.00832278784013744
6185310,South West,5018,Kwinana Ramps,5820,Paganoni Rd on to Kwinana Fwy (Northbound) Ramp,Paganoni Rd And Paganoni Rd on to Kwinana Fwy (Northbound) Ramp,Kwinana Fwy And Paganoni Rd on to Kwinana Fwy (Northbound) Ramp,I,N,1,0.00351238096610615
6185311,North West,5003,Mitchell Ramps,5520,Mitchell Fwy (Northbound) off to Hay St Ramp,Mitchell Fwy And Mitchell Fwy (Northbound) off to Hay St Ramp,Hay St And Mitchell Fwy (Northbound) off to Hay St Ramp,I,N,1,0.00242173173477601
6185312,North West,5003,Mitchell Ramps,5523,Market St on to Mitchell Fwy (Southbound) Ramp,Market St And Market St on to Mitchell Fwy (Southbound) Ramp,Mitchell Fwy And Market St on to Mitchell Fwy (Southbound) Ramp,I,S,1,0.00216946183459874
6185313,North West,5,Marmion Av,1394,Marmion Av,Neerabup Rd & Anchorage Dr Rty,Aviator Bvd,I,S,11,0.00465384799079531
6185314,North West,5,Marmion Av,1395,Marmion Av,Aviator Bvd,Edinburgh Av & Grand Ocean Ent Rty,I,S,12,0.0266213087907924
6185315,North West,5,Marmion Av,1396,Marmion Av,Edinburgh Av & Grand Ocean Ent Rty,Burns Beach Rd,I,S,13,0.00656944019460142
