OBJECTID,NETWORK_AREA,CORRIDOR_ID,CORRIDOR_DESCR,LINK_ID,LINK_DESCR,LINK_FROM,LINK_TO,LINK_FLOW,LINK_DIRN,LINK_SEQ,GEOLOCSTLength
6182831,North East,1120001,Garratt Rd,52969,Garratt Rd,Guildford Rd,Garratt Rd Bridge,O,,2,0.00813110903593739
6182832,North East,1120002,Beaufort St,52979,Beaufort St,Nelson St & Beaufort St,Grand Prom,O,,1,0.00309596392408434
6182833,North East,1120002,Beaufort St,52980,Beaufort St,Grand Prom,Broun Av,O,,2,0.0071365030325027
6182834,North East,1120003,Walter Rd West,52991,Walter Rd West,Shaftesbury Av & Walter Rd West,Coode St,O,,1,0.00569516892544908
6182835,North East,1120003,Walter Rd West,52992,Walter Rd West,Coode St,Russell St,O,,2,0.00607940549329268
6182836,North East,1120003,Walter Rd West,52993,Walter Rd West,Russell St,Progress St,O,,3,0.00206434940938348
6182837,North East,1120003,Walter Rd West,52994,Walter Rd West,Progress St,Wellington Rd & Old Collier Rd,O,,4,0.00137670234599333
6182838,North East,1120003,Walter Rd West,52995,Walter Rd West,Wellington Rd & Old Collier Rd,Collier Rd,O,,5,0.00516592066797006
6182839,North East,1120003,Walter Rd West,52996,Walter Rd West,Collier Rd,Crimea St,O,,6,0.00227516045694545
6182840,North East,1120003,Walter Rd West,52997,Walter Rd West,Crimea St,Embleton Av,O,,7,0.0122206665972898
6182841,North East,1120004,Grand Prom,53007,Grand Prom,Railway Pde,Beaufort St,O,,1,0.00957864354035607
6182842,North East,1120004,Grand Prom,53008,Grand Prom,Beaufort St,Grand Prom & Walter Rd West,O,,2,0.0143138697897919
6182843,North East,1120005,Beechboro Rd North,53019,Beechboro Rd North,Beechboro Rd North - Start Road,Broun Av & Walter Rd East,O,,1,0.00362905899882648
6182844,North East,1120005,Beechboro Rd North,53020,Beechboro Rd North,Broun Av & Walter Rd East,Morley Dr,O,,2,0.00580147554355982
6182845,North East,1120005,Beechboro Rd North,53021,Beechboro Rd North,Morley Dr,Benara Rd,O,,3,0.0136647775255868
6182846,North East,1120005,Beechboro Rd North,53022,Beechboro Rd North,Benara Rd,Wandoo Rd & Beechboro Rd North,O,,4,0.00376054198951872
6182847,North East,1120006,Broun Av,53032,Broun Av,Beaufort St,Coode St,O,,1,0.0026745937769171
6182848,North East,1120006,Broun Av,53033,Broun Av,Coode St,Russell St,O,,2,0.00610316458311417
6182849,North East,1120006,Broun Av,53034,Broun Av,Russell St,Collier Rd,O,,3,0.00308077782953461
6182850,North East,1120006,Broun Av,53035,Broun Av,Collier Rd,Embleton Av,O,,4,0.0139565386999705
6182851,North East,1120006,Broun Av,53036,Broun Av,Embleton Av,Walter Rd East & Beechboro Rd North,O,,5,0.00758786840667472
6182852,North East,1120007,Collier Rd,53046,Collier Rd,Collier Rd & Grey St & Jackson St,Tonkin Hwy,O,,1,0.00375491924527983
6182853,North East,1120007,Collier Rd,53047,Collier Rd,Tonkin Hwy,Beechboro Rd South,O,,2,0.00753058134501947
6182854,North East,1120007,Collier Rd,53048,Collier Rd,Beechboro Rd South,Broun Av,O,,3,0.0121281748521238
6182855,North East,1120007,Collier Rd,53049,Collier Rd,Broun Av,Walter Rd West,O,,4,0.00774364670779096
6182856,North East,1120008,King William St,53060,King William St,King William St - End Road,Guildford Rd,O,,1,0.00567886209677638
6182857,North East,1120008,King William St,53061,King William St,Guildford Rd,Coode St & Whatley Cr,O,,2,0.00847461194914999
6182858,North East,1120009,Railway Pde,53072,Railway Pde,Railway Pde & Central Av,Caledonian Av,O,,1,0.0073004852833648
6182859,North East,1120009,Railway Pde,53073,Railway Pde,Caledonian Av,Grand Prom,O,,2,0.00778952647195991
6182860,North East,1120009,Railway Pde,53074,Railway Pde,Grand Prom,Hotham St Bridge,O,,3,0.000970016004567693
6182861,North East,1120010,Coode St,53084,Coode St,Coode St & Walter Rd West,Broun Av,O,,1,0.0139465216031975
6182862,North East,1120010,Coode St,53085,Coode St,Broun Av,Railway Pde,O,,2,0.0149367615579529
6182863,North East,1120010,Coode St,53086,Coode St,Railway Pde,Whatley Cr & King William St,O,,3,0.000641105269981292
6182864,North East,1120012,Wellington Rd,53096,Wellington Rd,Walter Rd West & Old Collier Rd,Camboon Rd & Morley Dr,O,,1,0.0111111372224724
6182865,North East,1120013,Whatley Cr,53107,Whatley Cr,Newton St,Coode St & King William St,O,,1,0.0131858699344136
6182866,North East,1120013,Whatley Cr,53108,Whatley Cr,Coode St & King William St,Garratt Rd,O,,2,0.00782612332021448
6182867,North East,1120013,Whatley Cr,53109,Whatley Cr,Garratt Rd,Caledonian Av,O,,3,0.0111916954399679
6182868,North East,1120013,Whatley Cr,53110,Whatley Cr,Caledonian Av,Seventh Av,O,,4,0.00468725533577962
6182869,North East,1120013,Whatley Cr,53111,Whatley Cr,Seventh Av,Third Av,O,,5,0.00654168839806002
6182870,North East,1120013,Whatley Cr,53112,Whatley Cr,Third Av,Guildford Rd & East Pde,O,,6,0.00802581568944074
6182871,North East,1120014,Benara Rd,53123,Benara Rd,Strutt Wy,Crimea St,O,,1,0.00461317816071131
6182872,North East,1120014,Benara Rd,53124,Benara Rd,Crimea St,Tonkin Hwy,O,,2,0.00822173336108319
6182873,North East,1120014,Benara Rd,53125,Benara Rd,Tonkin Hwy,Beechboro Rd North,O,,3,0.0028899014530748
6182874,North East,1120014,Benara Rd,53126,Benara Rd,Beechboro Rd North,Benara Rd & Milligan Av,O,,4,0.00865205884103886
6182875,North East,1120016,Morley Dr,53136,Morley Dr,Tonkin Hwy & Morley Dr,Beechboro Rd North,O,,1,0.00554682794312588
6182876,North East,1120016,Morley Dr,53137,Morley Dr,Beechboro Rd North,Wicks St & Morley Dr East,O,,2,0.0075909393827665
6182877,North East,1120017,Crimea St,53147,Crimea St,Endeavour Rd,Walter Rd West,O,,1,0.00359614552435985
6182878,North East,1120017,Crimea St,53148,Crimea St,Walter Rd West,Morley Dr,O,,2,0.0070209841136897
6182879,North East,1120017,Crimea St,53149,Crimea St,Morley Dr,Benara Rd,O,,3,0.0122098805738058
6182880,North East,1120017,Crimea St,53150,Crimea St,Benara Rd,Malaga Dr,O,,4,0.00425319615917618
6182881,North East,1120018,Camboon Rd,53160,Camboon Rd,Morley Dr & Wellington Rd,Gill St,O,,1,0.00328784009537525
6182882,North East,1120020,Beechboro Rd South,53170,Beechboro Rd South,Railway Pde,Collier Rd,O,,1,0.0142686043722204
6182883,North East,1120020,Beechboro Rd South,53171,Beechboro Rd South,Collier Rd,Embleton Av,O,,2,0.00118160318244388
6182884,North East,1120025,Rudloc Rd,53181,Rudloc Rd,Drake St,Russell St,O,,1,0.00358784542586927
6182885,North East,1120025,Rudloc Rd,53182,Rudloc Rd,Russell St,Rudloc Rd - End Road,O,,2,0.0014664662219714
6182886,North East,1120026,Russell St,53192,Russell St,Smith St,Walter Rd West,O,,1,0.00592777431527445
6182887,North East,1120026,Russell St,53193,Russell St,Walter Rd West,Westfield Galleria (Bishop St),O,,2,0.00223335208714527
6182888,North East,1120026,Russell St,53194,Russell St,Westfield Galleria (Bishop St),Rudloc Rd,O,,3,0.00358450346151834
6182889,North East,1120026,Russell St,53195,Russell St,Rudloc Rd,Broun Av,O,,4,0.00578666501714404
6182890,North East,1120028,Embleton Av,53206,Embleton Av,Walter Rd West,Broun Av,O,,1,0.00201851070746941
6182891,North East,1120028,Embleton Av,53207,Embleton Av,Broun Av,Beechboro Rd South,O,,2,0.00651445196690436
6182892,North East,1120042,Progress St,53217,Progress St,Bishop St & Westfield Galleria (Bishop St),Walter Rd West,O,,1,0.00171295239668878
6182893,North East,1120043,Bishop St,53227,Bishop St,Old Collier Rd,Progress St & Westfield Galleria (Bishop St),O,,1,0.00129100840989608
6182894,North East,1120362,Widgee Rd,53237,Widgee Rd,Bohemia Pl,Alexander Dr & Hellenic Dr,O,,1,0.00444454184391261
6182895,North East,1120655,Walter Rd East,53248,Walter Rd East,Broun Av & Beechboro Rd North,Walter Rd East & Wicks St,O,,1,0.00782301826149686
6182896,North East,1120662,Railway Pde,53258,Railway Pde,Coode St,Beechboro Rd South,O,,1,0.00242922700881222
6182897,North East,1120718,Eighth Av,53267,Eighth Av,East St,Guildford Rd,O,,1,0.00337152408216394
6182898,North East,1120718,Eighth Av,53268,Eighth Av,Guildford Rd,Whatley Cr,O,,2,0.002488488212058
6182899,North East,1120721,Caledonian Av,53278,Caledonian Av,Foundry St,Whatley Cr,O,,1,0.00291255257391528
6182900,North East,1120732,Falkirk Av,53289,Falkirk Av,Guildford Rd,East St,O,,1,0.00211066067655493
6182901,North East,1120763,Thirlmere Rd,53299,Thirlmere Rd,Guildford Rd,Ellesmere Rd,O,,1,0.00318474004551194
6182902,North East,1120764,First Av,53309,First Av,Guildford Rd,Whatley Cr,O,,1,0.00121670885952218
6182903,North East,1120779,Third Av,53319,Third Av,Whatley Cr,Railway Pde,O,,1,0.000576314211732149
6182904,North East,1120804,Guildford/Railway Pde Xing,53329,Guildford/Railway Pde Xing,Guildford Rd,Railway Pde,O,,1,0.000585160794137678
6182905,North East,1120821,Old Collier Rd,53339,Old Collier Rd,Walter Rd West & Wellington Rd,Bishop St,O,,1,0.00119866281955647
6182906,North East,1120851,Malaga Dr,53349,Malaga Dr,Crimea St,Reid Hwy (WB) off to Malaga Dr & Malaga Dr on to Reid Hwy (WB),O,,1,0.0106892369729444
6182907,North East,1120851,Malaga Dr,53350,Malaga Dr,Reid Hwy (WB) off to Malaga Dr & Malaga Dr on to Reid Hwy (WB),Malaga Dr,O,,2,0.000587364270550931
6182908,South East,1130002,Abernethy Rd,53370,Abernethy Rd,Great Eastern Hwy,Fairbrother St,O,,1,0.0100704583920534
6182909,South East,1130002,Abernethy Rd,53371,Abernethy Rd,Fairbrother St,Alexander Rd,O,,2,0.00637822000725983
6182910,South East,1130002,Abernethy Rd,53372,Abernethy Rd,Alexander Rd,Wright St,O,,3,0.005921135246373
6182911,South East,1130002,Abernethy Rd,53373,Abernethy Rd,Wright St,Fulham St,O,,4,0.00300176526057017
6182912,South East,1130002,Abernethy Rd,53374,Abernethy Rd,Fulham St,Leach Hwy (Eastbound) off to Abernethy Rd & Abernethy Rd on to Leach Hwy (Eastbound),O,,5,0.0142153560996225
6182913,South East,1130002,Abernethy Rd,53375,Abernethy Rd,Leach Hwy (Eastbound) off to Abernethy Rd & Abernethy Rd on to Leach Hwy (Eastbound),Leach Hwy (Westbound) off to Abernethy Rd & Abernethy Rd on to Leach Hwy (Westbound),O,,6,0.000690209287344344
6182914,South East,1130002,Abernethy Rd,53376,Abernethy Rd,Leach Hwy (Westbound) off to Abernethy Rd & Abernethy Rd on to Leach Hwy (Westbound),Noble St,O,,7,0.00498999172374525
6182915,South East,1130002,Abernethy Rd,53377,Abernethy Rd,Noble St,Kewdale Rd,O,,8,0.00708653237138954
6182916,South East,1130002,Abernethy Rd,53378,Abernethy Rd,Kewdale Rd,McDowell St,O,,9,0.0167775707831047
6182917,South East,1130002,Abernethy Rd,53379,Abernethy Rd,McDowell St,Daddow Rd,O,,10,0.00240574349422017
6182918,South East,1130002,Abernethy Rd,53380,Abernethy Rd,Daddow Rd,Abernethy Rd & Abernethy Rd on to Tonkin Hwy,O,,11,0.0022846665292428
6182919,South East,1130004,Hardey Rd,53391,Hardey Rd,Resolution Dr & Great Eastern Hwy,Wright St,O,,1,0.0221783520498622
6182920,South East,1130006,Stoneham St,53401,Stoneham St,Grandstand Rd & Raconteur Dr,Great Eastern Hwy & Belgravia St,O,,1,0.00319351826108827
6182921,South East,1130010,Belmont Av,53412,Belmont Av,Tanunda Dr & Great Eastern Hwy,Alexander Rd,O,,1,0.0147443417983656
6182922,South East,1130010,Belmont Av,53413,Belmont Av,Alexander Rd,Wright St,O,,2,0.00583560907672291
6182923,South East,1130010,Belmont Av,53414,Belmont Av,Wright St,Fulham St,O,,3,0.00307200097474954
6182924,South East,1130011,Acton Av,53424,Acton Av,Great Eastern Hwy,Cleaver Tce,O,,1,0.00308665582721363
6182925,South East,1130012,Wright St,53434,Wright St,Hardey Rd,Abernethy Rd,O,,1,0.0108291758575797
6182926,South East,1130012,Wright St,53435,Wright St,Abernethy Rd,Belmont Av,O,,2,0.00433315027079226
6182927,South East,1130012,Wright St,53436,Wright St,Belmont Av,Orrong Rd,O,,3,0.0144070175621317
6182928,North West,1240110,Adelaide Tce,55790,Adelaide Tce,St Georges Tce & Victoria Av,Hill St,O,,1,0.00295143109141531
6182929,North West,1240110,Adelaide Tce,55791,Adelaide Tce,Hill St,Bennett St,O,,2,0.00334515630937797
6182930,North West,1240110,Adelaide Tce,55792,Adelaide Tce,Bennett St,Plain St,O,,3,0.00345496169179431
6182931,North West,1240110,Adelaide Tce,55793,Adelaide Tce,Plain St,Causeway,O,,4,0.00430706504610874
6182932,North West,1240111,Hay St,55803,Hay St,Causeway,Trinity Av & Hay St & Braithwaite St,O,,1,0.00174616656305697
6182933,North West,1240111,Hay St,55804,Hay St,Trinity Av & Hay St & Braithwaite St,Erskine Link & Hale St,O,,2,0.00226439174396601
6182934,North West,1240111,Hay St,55805,Hay St,Erskine Link & Hale St,Plain St,O,,3,0.00314307380450088
6182935,North West,1240111,Hay St,55806,Hay St,Plain St,Bennett St,O,,4,0.00345841486793542
6182936,North West,1240111,Hay St,55807,Hay St,Bennett St,Hill St,O,,5,0.00335833077219076
6182937,North West,1240111,Hay St,55808,Hay St,Hill St,Victoria Av,O,,6,0.00293322956377175
6182938,North West,1240111,Hay St,55809,Hay St,Victoria Av,Irwin St,O,,7,0.00245652787772393
6182939,North West,1240111,Hay St,55810,Hay St,Irwin St,Pier St South,O,,8,0.00137721376969352
6182940,North West,1240111,Hay St,55811,Hay St,Pier St South,Barrack St,O,,9,0.00207596337409994
6182941,North West,1240111,Hay St,55822,Hay St,William St,Milligan St,O,,15,0.00565758656687655
6182942,North West,1240111,Hay St,55823,Hay St,Milligan St,Elder St,O,,16,0.00234940275457259
6182943,North West,1240111,Hay St,55824,Hay St,Elder St,George St & Mitchell Fwy (Northbound) off to Hay St,O,,17,0.00100335192317715
6182944,North West,1240111,Hay St,55825,Hay St,George St & Mitchell Fwy (Northbound) off to Hay St,Havelock St,O,,18,0.00433544151824818
6182945,North West,1240111,Hay St,55826,Hay St,Havelock St,Colin St,O,,19,0.00226040789888634
6182946,North West,1240111,Hay St,55827,Hay St,Colin St,Outram St,O,,20,0.00233131980649833
6182947,North West,1240111,Hay St,55828,Hay St,Outram St,Hay St & Thomas St,O,,21,0.0027222047903367
6182948,North West,1240112,Murray St,55838,Murray St,Thomas St,Outram St,O,,1,0.00204352520111279
6182949,North West,1240112,Murray St,55839,Murray St,Outram St,Colin St,O,,2,0.00231603112346336
6182950,North West,1240112,Murray St,55840,Murray St,Colin St,Havelock St,O,,3,0.00229297749189481
6182951,North West,1240112,Murray St,55841,Murray St,Havelock St,George St & Murray St on to Mitchell Fwy (Southbound),O,,4,0.00434037225474539
6182952,North East,5012,Tonkin N Ramps,6028,Reid Hwy WB off to Tonkin Hwy NB On,Reid Hwy WB Off,Tonkin Hwy NB On,O,,,0.00868759016482036
6182953,North East,5012,Tonkin N Ramps,5316,Tonkin Hwy NB off to Gnangara Rd,Tonkin Hwy NB,Gnangara Rd,O,,,0.00282431497035978
6182954,North East,5012,Tonkin N Ramps,5307,Tonkin Hwy NB off to Hepburn Av,Tonkin Hwy NB,Hepburn Av,O,,,0.00419165167637019
6182955,North East,5012,Tonkin N Ramps,5310,Hepburn Av on to Tonkin Hwy NB,Hepburn Av,Tonkin Hwy NB,O,,,0.0035831586504726
6182956,North East,5012,Tonkin N Ramps,5317,Gnangara Rd on to Tonkin Hwy NB,Gnangara Rd,Tonkin Hwy NB,O,,,0.00582678029933056
6182957,North East,5012,Tonkin N Ramps,5323,Tonkin Hwy NB off to The Promenade,Tonkin Hwy NB,The Promenade,O,,,0.00338382553842155
6182958,North East,5012,Tonkin N Ramps,5324,The Promenade on to Tonkin Hwy NB,The Promenade,Tonkin Hwy NB,O,,,0.00430804593793709
6182959,South West,19,Kwinana Fwy,1333,Kwinana Fwy,Canning Hwy On,Manning Rd On,O,S,8,0.001022822725587
6182960,South West,5018,Kwinana Ramps,5381,Manning Rd on to Kwinana Fwy SB,Manning Rd,Kwinana Fwy SB,O,S,,0.00266870766781584
6182961,South West,19,Kwinana Fwy,1334,Kwinana Fwy,Roe Hwy (Eastbound) On,Roe Hwy (Westbound) On,O,S,18,0.00131661117393612
6182962,South West,5018,Kwinana Ramps,5335,Roe Hwy EB on to Kwinana Fwy SB,Roe Hwy EB,Kwinana Fwy SB,O,S,,0.00945493025060644
6182963,South West,22,Leach Hwy,1336,Leach Hwy,North Lake Rd,Norma Rd,O,E,4,0.00656526316998078
6182964,South West,22,Leach Hwy,1337,Leach Hwy,Norma Rd,Winthrop Av,O,E,5,0.00334435418682932
6182965,South West,17,Melville Mandurah Hwy,1344,Melville Mandurah Hwy,Kwinana Beach Rd,Charles St & Alloy Av,O,S,18,0.013671625744641
6182966,South West,17,Melville Mandurah Hwy,1345,Melville Mandurah Hwy,Charles St & Alloy Av,Patterson Rd & Ennis Av,O,S,19,0.0172066130397739
6182967,North West,6,Wanneroo Rd,1340,Wanneroo Rd,Works Depot Access Nth,Clarkson Av,O,N,33,0.0122401238567703
6182968,North West,6,Wanneroo Rd,1341,Wanneroo Rd,Clarkson Av,Joondalup Dr,O,N,34,0.00465793890203593
6182969,North East,12,Tonkin Hwy Inner,1119,Tonkin Hwy,Dunreath Dr Off,Dunreath Dr On,O,N,9,0.00705825373045397
6182970,North East,12,Tonkin Hwy Inner,1111,Tonkin Hwy,Roe Hwy Off,Roe Hwy On,O,N,1,0.00527535236565571
6182971,North East,12,Tonkin Hwy Inner,1112,Tonkin Hwy,Roe Hwy On,McDowell St Off,O,N,2,0.00936989658160556
6182972,North East,12,Tonkin Hwy Inner,1113,Tonkin Hwy,McDowell St Off,Horrie Miller Dr Off,O,N,3,0.00798076768663585
6182973,North East,12,Tonkin Hwy Inner,1114,Tonkin Hwy,Horrie Miller Dr Off,Leach Hwy & Airport Dr Off,O,N,4,0.00607944107022691
6182974,North East,12,Tonkin Hwy Inner,1115,Tonkin Hwy,Leach Hwy & Airport Dr Off,Horrie Miller Dr On,O,N,5,0.00730425174644384
6182975,North East,12,Tonkin Hwy Inner,1116,Tonkin Hwy,Horrie Miller Dr On,Airport Dr On,O,N,6,0.007828275885962
6182976,North East,12,Tonkin Hwy Inner,1117,Tonkin Hwy,Airport Dr On,Leach Hwy On,O,N,7,0.0039449976803081
6182977,North East,12,Tonkin Hwy Inner,1120,Tonkin Hwy,Dunreath Dr On,Great Eastern Hwy Off,O,N,10,0.0105541216167733
6182978,North East,12,Tonkin Hwy Inner,1121,Tonkin Hwy,Great Eastern Hwy Off,Great Eastern Hwy On,O,N,11,0.00460474533006053
6182979,North East,12,Tonkin Hwy Inner,1118,Tonkin Hwy,Leach Hwy On,Dunreath Dr Off,O,N,8,0.0128765871280106
6182980,South East,29,Roe Hwy,1277,Roe Hwy,Kalamunda Rd Off,Kalamunda Rd On,O,N,22,0.00920672521262633
6182981,South East,24,Armadale Rd,1466,Armadale Rd,Ghostgum Av,Tapper Rd Off,O,W,13,0.00497608670796081
6182982,South East,24,Armadale Rd,1467,Armadale Rd,Tapper Rd Off,Beeliar Dr On,O,W,14,0.0100551527137927
6182983,South East,24,Armadale Rd,1468,Armadale Rd,Beeliar Dr On,Kwinana Fwy Southbound,O,W,15,0.0041789325603015
6182984,South East,24,Armadale Rd,1469,Armadale Rd,Kwinana Fwy Southbound,Kwinana Fwy Northbound,O,W,16,0.00226887616180544
6182985,North West,99,Island Links,1473,Beeliar Dr,Solomon Rd,Kwinana Fwy Southbound,O,W,,0.00423019605204929
6182986,North West,99,Island Links,1474,Beeliar Dr,Kwinana Fwy Southbound,Kwinana Fwy Northbound,O,W,,0.0017376762899197
6182987,North West,1280303,Cambridge St,57684,Cambridge St,Harborne St,Southport St,O,,4,0.0203067379290431
6182988,North West,1280303,Cambridge St,57685,Cambridge St,Southport St,Graham Farmer Fwy (Westbound) off to Loftus St & Loftus St,O,,5,0.00371976247597218
6182989,North West,1280304,Railway Pde,57696,Railway Pde,Railway St & Loftus St & Thomas St,Salvado Rd East & Haydn Bunton Dr,O,,1,0.0150423722180322
6182990,North West,1280305,Salvado Rd East,57707,Salvado Rd East,Railway Pde & Haydn Bunton Dr,Station St,O,,1,0.00395646509588833
6182991,North West,1280305,Salvado Rd East,57708,Salvado Rd East,Station St,Salvado Rd & Station St,O,,2,0.000312635620139062
6182992,North West,1280306,Selby St,57717,Selby St,Selby St & Hay St & Underwood Av,Alderbury St,O,,1,0.00346583381238384
6182993,North West,1280306,Selby St,57718,Selby St,Alderbury St,Cambridge St,O,,2,0.00346074489322013
6182994,North West,1280306,Selby St,57719,Selby St,Cambridge St,The Boulevard,O,,3,0.00106414535190374
6182995,North West,1280306,Selby St,57720,Selby St,The Boulevard,Grantham St,O,,4,0.00542672350238744
6182996,South East,1130014,Epsom Av,53446,Epsom Av,Matheson Rd,Great Eastern Hwy,O,,1,0.00348095365528683
6182997,South East,1130014,Epsom Av,53447,Epsom Av,Great Eastern Hwy,Sydenham St & Grand Pde,O,,2,0.0179744015519283
6182998,South East,1130015,Kooyong Rd,53457,Kooyong Rd,Brighton Rd & Great Eastern Hwy,Macey Cl,O,,1,0.00609520702609659
6182999,South East,1130016,Francisco St,53467,Francisco St,Abernethy Rd,Francisco Pl & Orrong Rd,O,,1,0.0183895923455625
6183000,North West,1240080,Havelock St,55636,Havelock St,Murray St,Hay St,O,,2,0.00121600189511035
6183001,North West,1240080,Havelock St,55637,Havelock St,Hay St,Kings Park Rd,O,,3,0.00449824146695588
6183002,North West,1240086,Colin St,55647,Colin St,Ord St,Hay St,O,,1,0.00224338671936858
6183003,North West,1240086,Colin St,55648,Colin St,Hay St,Murray St,O,,2,0.00137975220299264
6183004,North West,1240086,Colin St,55649,Colin St,Murray St,Wellington St,O,,3,0.0011362606922696
6183005,North West,1240086,Colin St,55650,Colin St,Wellington St,Prowse St & Arthur St,O,,4,0.00162686708153263
6183006,North West,1240093,Outram St,55660,Outram St,Ord St,Hay St,O,,1,0.00221839248047915
6183007,North West,1240093,Outram St,55661,Outram St,Hay St,Murray St,O,,2,0.00139248687652002
6183008,North West,1240093,Outram St,55662,Outram St,Murray St,Wellington St & Lucknow Pl,O,,3,0.00112035895372007
6183009,North West,1240096,Kings Park Rd,55672,Kings Park Rd,Bagot Rd & Thomas St,Fraser Av & Malcolm St,O,,1,0.0114443053093408
6183010,North West,1240100,Malcolm St,55682,Malcolm St,Fraser Av & Kings Park Rd,Elder St & St Georges Tce,O,,1,0.00495383582708043
6183011,North West,1240101,Mount St East,55693,Mount St East,St Georges Tce & Milligan St,Spring St,O,,1,0.00105598640853489
6183012,North West,1240102,Spring St,55703,Spring St,Mount St East,Mounts Bay Rd & Spring St,O,,1,0.00187143691044427
6183013,North West,1240103,Mounts Bay Rd,55713,Mounts Bay Rd,Mounts Bay Rd (Northbound) & Mounts Bay Rd (Southbound),Mitchell Fwy (Northbound) off to Mounts Bay Rd,O,,1,0.00590254276552833
6183014,North West,1240103,Mounts Bay Rd,55714,Mounts Bay Rd,Mitchell Fwy (Northbound) off to Mounts Bay Rd,Spring St,O,,2,0.00317880051118162
6183015,North West,1240103,Mounts Bay Rd,55715,Mounts Bay Rd,Spring St,Conv Ctr Access / Car Park & Mill St,O,,3,0.00158834378552564
6183016,North West,1240103,Mounts Bay Rd,55716,Mounts Bay Rd,Conv Ctr Access / Car Park & Mill St,The Esplanade & William St,O,,4,0.00351421168315953
6183017,North West,1240105,Mill St,55727,Mill St,Mounts Bay Rd & Conv Ctr Access / Car Park,St Georges Tce,O,,1,0.00171322666023718
6183018,North West,1240106,Milligan St,55736,Milligan St,St Georges Tce & Mount St East,Hay St,O,,1,0.00125759979135576
6183019,North West,1240106,Milligan St,55737,Milligan St,Hay St,Murray St,O,,2,0.00120152992882737
6183020,North West,1240106,Milligan St,55738,Milligan St,Murray St,Wellington St & Entertainment Centre,O,,3,0.0013963397448432
6183021,North West,1240107,Elder St,55748,Elder St,Mitchell Fwy (Southbound) off to Wellington St & Wellington St,Elder St on to Mitchell Fwy (Southbound) & Murray St,O,,1,0.00136273790782688
6183022,North West,1240107,Elder St,55749,Elder St,Elder St on to Mitchell Fwy (Southbound) & Murray St,Hay St,O,,2,0.00126048336479457
6183023,North West,1240107,Elder St,55750,Elder St,Hay St,St Georges Tce & Malcolm St,O,,3,0.0014359787515495
6183024,North West,1240108,George St,55760,George St,Mitchell Fwy (Northbound) off to Hay St & Hay St,Murray St on to Mitchell Fwy (Southbound) & Murray St,O,,1,0.00126027828928291
6183025,North West,1240108,George St,55761,George St,Murray St on to Mitchell Fwy (Southbound) & Murray St,Wellington St & Wellington St on to Mitchell Fwy (Northbound),O,,2,0.00133984985974596
6183026,North West,1240109,St Georges Tce,55771,St Georges Tce,Elder St & Malcolm St,Mount St East & Milligan St,O,,1,0.0022295928927626
6183027,North West,1240109,St Georges Tce,55772,St Georges Tce,Mount St East & Milligan St,Mill St,O,,2,0.00203288988303121
6183028,North West,1240109,St Georges Tce,55773,St Georges Tce,Mill St,Central Park Ped Xing (Tt),O,,3,0.00220104298302944
6183029,North West,1240109,St Georges Tce,55774,St Georges Tce,Central Park Ped Xing (Tt),William St,O,,4,0.00139731556200608
6183030,North West,1240109,St Georges Tce,55775,St Georges Tce,William St,Howard St Ped Xing (Tt),O,,5,0.00109790023354815
6183031,North West,1240109,St Georges Tce,55776,St Georges Tce,Howard St Ped Xing (Tt),Sherwood Ct Ped Xing (Tt),O,,6,0.00116216815741283
6183032,North West,1240109,St Georges Tce,55777,St Georges Tce,Sherwood Ct Ped Xing (Tt),Barrack St,O,,7,0.00116451780374093
6183033,North West,1240109,St Georges Tce,55778,St Georges Tce,Barrack St,Peir St Ped Xing (Tt) & Pier St South,O,,8,0.0020777299387904
6183034,North West,1240109,St Georges Tce,55779,St Georges Tce,Peir St Ped Xing (Tt) & Pier St South,Irwin St,O,,9,0.00131321992791591
6183035,North West,1240109,St Georges Tce,55780,St Georges Tce,Irwin St,Adelaide Tce & Victoria Av,O,,10,0.00253108784992939
6183036,North East,1090557,Lord St,51926,Lord St,Daviot Rd & Reid Hwy,Marshall Rd,O,,1,0.00675214827126051
6183037,North East,1090564,Marshall Rd,51935,Marshall Rd,Silver Swan Rd,Beechboro Rd North,O,,1,0.0106829438238049
6183038,North East,1090564,Marshall Rd,51936,Marshall Rd,Beechboro Rd North,Hepburn Av,O,,2,0.00750667280593663
6183039,North East,1090564,Marshall Rd,51937,Marshall Rd,Hepburn Av,Bellefin Dr,O,,3,0.0163837224040643
6183040,North East,1090564,Marshall Rd,51938,Marshall Rd,Bellefin Dr,Beach Rd & Malaga Dr,O,,4,0.00841381834591855
6183041,North East,1090570,Benara Rd,51949,Benara Rd,Weddall Rd,Altone Rd,O,,2,0.00443072891621428
6183042,North East,1090570,Benara Rd,51950,Benara Rd,Altone Rd,Benara Rd & Milligan Av,O,,1,0.0111852088767111
6183043,North East,1090602,Altone Rd,51960,Altone Rd,Rosher Rd,Benara Rd,O,,1,0.00838914348480752
6183044,North East,1090602,Altone Rd,51961,Altone Rd,Benara Rd,Reid Hwy,O,,2,0.0140309334455553
6183045,South West,1071007,Port Kennedy Dr,51679,Port Kennedy Dr,Ennis Av (Northbound) off to Port Kennedy Dr,Warnbro Sound Av,O,,1,0.0207976226992233
6183046,South West,1071015,Halliburton Av,51689,Halliburton Av,Warnbro Sound Av,Royal Palm Dr & Minilya Loop,O,,1,0.00350356675354959
