M_Link_ID,Volumes
76,34703632.0
77,31793249.0
78,44964206.0
79,26767837.0
80,35042559.0
81,27402584.0
82,25971545.0
83,25429316.0
84,32483559.0
85,26127424.0
86,27299122.0
87,24183107.0
88,21887422.0
89,25582434.0
90,28233549.0
91,30996079.0
92,9272272.0
93,18687892.0
94,21585674.0
95,31476754.0
96,33051987.0
97,28419265.0
98,28986960.0
99,29213630.0
100,25349959.0
101,26546747.0
102,28567052.0
103,34241207.0
104,28829798.0
105,27073930.0
106,27350539.0
107,32176361.0
108,27851105.0
109,28888808.0
110,32763290.0
111,35101618.0
112,21637049.0
113,20058058.0
114,26039810.0
115,22212858.0
116,25584113.0
117,26525483.0
118,27351025.0
119,31278598.0
120,31836416.0
121,28225192.0
122,9685707.0
123,31333133.0
124,30109514.0
125,29018628.0
126,25412844.0
127,25807070.0
128,23919897.0
129,20921018.0
130,24166311.0
131,19434169.0
132,23691749.0
133,6367031.0
134,109681251.0
135,97651598.0
136,97661549.0
137,127022991.0
138,120352515.0
139,122494592.0
140,69142850.0
141,84330830.0
142,80282311.0
143,166178492.0
144,142414396.0
145,131248629.0
146,156001870.0
147,124088728.0
148,106188734.0
149,117380294.0
150,106363737.0
151,94667868.0
152,111104870.0
153,123886116.0
154,100891615.0
155,88712496.0
156,116610419.0
157,100474888.0
158,108833258.0
159,91219384.0
160,100801738.0
161,80255268.0
162,91420870.0
163,67157299.0
164,72997100.0
165,57955539.0
166,62251971.0
167,46441752.0
168,54105334.0
169,53541005.0
170,46507048.0
171,61517809.0
172,53284227.0
173,72644426.0
174,64907958.0
175,85620810.0
176,75867802.0
177,94997832.0
178,85147635.0
179,107141024.0
180,100495215.0
181,114919272.0
182,88620225.0
183,99682007.0
184,119262022.0
185,108063814.0
186,91603195.0
187,97346851.0
188,111817788.0
189,104399740.0
190,116813633.0
191,119405840.0
192,150169880.0
193,126490276.0
194,130848214.0
195,94181215.0
196,69289700.0
197,121150444.0
198,124166102.0
199,138885634.0
200,122892603.0
201,119109547.0
202,136200522.0
203,20429710.0
204,21149431.0
205,26215863.0
206,30246254.0
207,24037891.0
208,20624280.0
209,17181756.0
210,23303647.0
211,21444967.0
212,20226512.0
213,18043577.0
214,18652454.0
215,22393856.0
216,24207784.0
217,15126897.0
218,15438635.0
219,19373945.0
220,16758965.0
221,17791159.0
222,15733061.0
223,14559752.0
224,21193825.0
225,21124604.0
226,21733797.0
227,32657206.0
228,24021936.0
229,19226561.0
230,19068671.0
231,19905144.0
232,21300999.0
233,23727712.0
234,16118089.0
235,15136051.0
236,30941486.0
237,30498506.0
238,25310631.0
239,18163110.0
240,24167433.0
241,24051934.0
242,27155508.0
243,27485679.0
244,26940989.0
245,24072068.0
246,23096967.0
247,21477121.0
248,26943696.0
249,23352336.0
250,33675018.0
251,26453658.0
252,23741294.0
253,26026442.0
254,27020707.0
255,21777052.0
256,23882020.0
257,22200791.0
258,18128446.0
259,25988682.0
260,16694449.0
261,26494870.0
262,24631891.0
263,24108713.0
264,26895553.0
265,23798732.0
266,28789576.0
267,27489846.0
268,32685106.0
269,31465562.0
270,30418110.0
271,28992700.0
272,22205887.0
273,34295393.0
274,27410841.0
275,32667995.0
276,24744320.0
277,18009059.0
278,22751352.0
279,25603579.0
280,28585841.0
281,21564154.0
282,26657633.0
283,20677480.0
284,19649013.0
285,20874231.0
286,16340064.0
287,12652753.0
289,4876076.0
290,4133023.0
291,13012116.0
292,3862162.0
293,4905837.0
294,10953284.0
295,13448274.0
296,16961501.0
297,21520318.0
298,19290594.0
299,19326220.0
300,27115395.0
301,21664298.0
302,32149423.0
303,19437680.0
304,28077554.0
305,29546138.0
306,29215748.0
307,32267435.0
308,29831996.0
309,34853219.0
310,30270954.0
311,30743524.0
312,29746589.0
313,35806774.0
314,36105955.0
315,11854827.0
316,26824615.0
317,23690703.0
318,25302721.0
319,24891313.0
320,24635726.0
321,28842214.0
322,17985623.0
323,35616265.0
324,22003429.0
325,20856360.0
326,24949166.0
327,21544643.0
328,15231666.0
329,13628071.0
330,13364886.0
331,16833684.0
332,7602030.0
333,9998713.0
334,8257282.0
335,10129878.0
336,17736462.0
337,20014819.0
338,23690175.0
339,34627434.0
340,39072905.0
341,29457857.0
342,51807456.0
343,38108633.0
344,48962318.0
345,34815175.0
346,42430301.0
347,36380279.0
348,27472364.0
349,23454741.0
350,26446783.0
351,23131274.0
352,24860379.0
353,21575056.0
354,30592431.0
355,30822021.0
356,21434466.0
357,21502886.0
358,22913917.0
359,25388219.0
360,35648573.0
361,37893751.0
362,43497243.0
363,53807683.0
364,42807667.0
365,45089680.0
366,36059652.0
367,44488233.0
368,33436795.0
369,18223094.0
370,21991297.0
371,13050705.0
372,21067746.0
373,20850144.0
374,30227867.0
375,17408757.0
376,23751883.0
377,21947205.0
378,20475490.0
379,29234877.0
380,30635912.0
381,36647072.0
382,25668404.0
383,17045240.0
384,17962666.0
385,12625988.0
386,22799119.0
387,17950611.0
388,22002819.0
389,16653661.0
390,20936996.0
391,21347053.0
392,27394449.0
393,18538312.0
394,29253583.0
395,23716454.0
396,26718245.0
397,24613249.0
398,30639349.0
399,31150316.0
400,29951399.0
401,27970877.0
402,25130359.0
403,18670657.0
404,48181727.0
405,78106727.0
406,84152243.0
407,65521819.0
408,83875564.0
409,76979006.0
410,63988334.0
411,42877673.0
