osmid,risk_lvl
"[278122532, 278699162, 1868613809]",1
"[650089101, 1502959374]",1
"[6191930331, 647378801, 6191930326, 650089110, 6191930337, 6191930323, 6191930325]",1
"[106277004, 6191849748]",1
6191849733,1
6191849739,1
"[650089092, 650089093]",0
"[6191834118, 6191834119]",1
1860895655,2
"[6191902766, 6191902765]",1
1868928825,1
3521914850,1
"[3521914875, 3521914877]",1
106277087,0
6241399340,0
"[1868928839, 6241399357, 6241399354, 6241399348]",1
271613483,1
3521914853,1
271898308,1
130180767,1
"[566448822, 1057847218, 1860802150, 566448788, 566448810, 566448828]",1
5835096224,1
566448784,1
130180768,1
1860802231,1
277964721,1
806256138,0
566448868,1
130180778,0
"[556254955, 556254661, 556254769, 556254977, 556255027, 556255081, 556255323]",0
4910937025,1
556255401,1
6210244907,0
4910937027,2
130181488,1
6207546241,2
715327474,2
"[715327480, 4907217110, 6207546237]",0
650086824,3
130181510,2
6200657302,2
347728316,1
"[347728300, 6200657298, 6200657299, 6200657307]",1
130181528,1
130182073,1
1836366270,0
307804808,1
"[278958858, 278958859, 1836366260, 278958860]",0
9722528239,1
307804814,0
"[130182568, 6210236315, 6210236314, 6210236307, 6210236316, 6210236317]",0
"[6210295991, 6210295993]",0
"[3544809968, 3544809969]",0
6210295992,1
715362009,1
6207546220,3
130183453,1
1554294470,1
1554294473,1
6200682218,1
148963933,1
6200662839,0
148963964,1
"[6229400647, 6229400649]",0
"[11184919191, 10727154309]",0
6229400648,3
148964039,0
"[10727142981, 10727142972, 10727142978, 10727142975, 10727142983, 10727142982]",1
"[10727154308, 11184919163]",3
148964072,0
268595351,2
"[6229436890, 6229436889, 6229436891]",0
268595441,1
"[6229400632, 242935767]",1
"[6229436894, 6229436892, 6229436893]",1
1844950269,1
"[207042390, 6241260111, 279125380, 279125381, 6241260114, 6241260116, 6241260100, 6241260110, 6241260108, 6241260106, 6241260107]",1
"[207042391, 1836457810]",1
"[410497881, 8712283613, 279125410, 5570202786, 5570202808, 8712283607]",0
279125505,1
1763271268,1
278960181,1
648050495,3
278960189,1
278960280,1
525609583,1
1366663796,1
207042403,1
10993207219,1
"[278960808, 278961115]",1
10993207216,1
278960802,2
6191736065,1
278960799,1
207057515,1
"[5567182147, 854215655, 1860896353, 5567182153, 5567182149, 5567182152, 6236364736, 6236364739]",0
207067968,0
6236336541,0
"[6236364740, 6236364743, 6236364749, 6236364770, 6236364761, 6236364766]",2
207068461,0
207069903,0
5835096227,0
6200970651,0
"[1860896562, 1860896563]",0
"[207060462, 207061563, 207060465]",2
207068465,0
207069900,0
"[207060985, 207060981, 207060982, 856122652, 856122657, 856122661]",2
9789369538,0
207066390,0
1860896449,1
272675596,1
1860896395,1
207063951,1
1860896355,1
"[6209736348, 6209736349]",2
207069230,1
6209736361,1
1860896485,2
"[207071656, 207071657, 207071658, 207071659]",2
6209869432,1
"[207071660, 207071661]",0
"[277564536, 6209840877]",1
6209869415,0
6209869419,0
"[644912886, 6209869433]",0
"[6209869446, 207071663]",0
"[6209869434, 6209869435]",1
